player_id,team_id,season_name,position,base_salary,guaranteed_compensation,mlspa_release,season_name_outlier,base_salary_outlier,guaranteed_compensation_outlier
0Oq6006M6D,mKAqBBmqbg,2013,D,200000.0,200000.0,2013-05-01,False,False,False
0Oq6006M6D,mKAqBBmqbg,2013,D,200000.0,200000.0,2013-08-01,False,False,False
0Oq6006M6D,mKAqBBmqbg,2013,D,200000.0,200000.0,2013-09-15,False,False,False
0Oq60APM6D,0KPqjA456v,2013,D,205000.0,208333.33,2013-05-01,False,False,False
0Oq60APM6D,0KPqjA456v,2013,D,205000.0,208333.33,2013-08-01,False,False,False
0Oq60APM6D,0KPqjA456v,2013,D,205000.0,208333.33,2013-09-15,False,False,False
0Oq60APM6D,0KPqjA456v,2014,D,210000.0,213333.33,2014-04-01,False,False,False
0Oq60APM6D,0KPqjA456v,2014,D,210000.0,213333.33,2014-09-15,False,False,False
0Oq60APM6D,Vj58weDM8n,2015,D,175000.0,185000.0,2015-07-15,False,False,False
0Oq60APM6D,Vj58weDM8n,2015,D,175000.0,185000.0,2015-09-15,False,False,False
0Oq60APM6D,Vj58weDM8n,2016,D,200000.0,210000.0,2016-05-15,False,False,False
0Oq60APM6D,Vj58weDM8n,2016,D,200000.0,210000.0,2016-09-15,False,False,False
0Oq60APM6D,kRQabn8MKZ,2017,D,65004.0,65004.0,2017-04-15,False,False,False
0Oq60APM6D,kRQabn8MKZ,2017,D,65004.0,65004.0,2017-09-15,False,False,False
0Oq60APM6D,kRQabn8MKZ,2018,D,67500.0,67500.0,2018-05-01,False,False,False
0Oq60APM6D,kRQabn8MKZ,2018,D,67500.0,67500.0,2018-09-15,False,False,False
0Oq60VgM6D,X0Oq66zq6D,2013,D,225000.0,231000.0,2013-05-01,False,False,False
0Oq60VgM6D,X0Oq66zq6D,2013,D,225000.0,231000.0,2013-08-01,False,False,False
0Oq60VgM6D,X0Oq66zq6D,2013,D,225000.0,231000.0,2013-09-15,False,False,False
0Oq60VgM6D,X0Oq66zq6D,2014,D,245000.0,251000.0,2014-04-01,False,False,False
0Oq60VgM6D,X0Oq66zq6D,2014,D,245000.0,251000.0,2014-09-15,False,False,False
0Oq60VgM6D,X0Oq66zq6D,2015,D,265000.0,271000.0,2015-07-15,False,False,False
0Oq60VgM6D,X0Oq66zq6D,2015,D,265000.0,271000.0,2015-09-15,False,False,False
0Oq60VgM6D,kaDQ0wRqEv,2016,M,175000.0,175000.0,2016-05-15,False,False,False
0Oq60VgM6D,kaDQ0wRqEv,2016,M,175000.0,175000.0,2016-09-15,False,False,False
0Oq60VgM6D,KAqBN0Vqbg,2017,M,175008.0,175008.0,2017-04-15,False,False,False
0Oq60VgM6D,KAqBN0Vqbg,2017,M,175008.0,175008.0,2017-09-15,False,False,False
0Oq60VgM6D,KAqBN0Vqbg,2018,M,210000.0,210000.0,2018-05-01,False,False,False
0Oq60VgM6D,KAqBN0Vqbg,2018,M,210000.0,210000.0,2018-09-15,False,False,False
0Oq60VgM6D,KAqBN0Vqbg,2019,D,210000.0,210000.0,2019-06-01,False,False,False
0Oq60VgM6D,KAqBN0Vqbg,2019,D,210000.0,210000.0,2019-09-13,False,False,False
0Oq60VgM6D,KAqBN0Vqbg,2020,M,280000.0,280000.0,2020-12-01,False,False,False
0Oq62Y3zq6,NPqxKXZ59d,2023,GK,67360.0,67360.0,2023-04-30,False,False,False
0Oq630dXQ6,kaDQ0wRqEv,2021,F,1440000.0,1440000.0,2021-04-15,False,False,False
0Oq630dXQ6,kaDQ0wRqEv,2021,F,1440000.0,1440000.0,2021-09-30,False,False,False
0Oq630dXQ6,kaDQ0wRqEv,2022,F,1650000.0,1650000.0,2022-04-15,False,False,False
0Oq630dXQ6,kaDQ0wRqEv,2022,F,1650000.0,1650000.0,2022-09-02,False,False,False
0Oq630dXQ6,pzeQZ6xQKw,2023,F,1800000.0,1800000.0,2023-04-30,False,False,False
0Oq630dXQ6,pzeQZ6xQKw,2023,M,1800000.0,1800000.0,2023-09-15,False,False,False
0Oq630dXQ6,pzeQZ6xQKw,2024,F,1950000.0,1950000.0,2024-04-25,False,False,False
0Oq630dXQ6,pzeQZ6xQKw,2024,F,1950000.0,1950000.0,2024-09-13,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2019,D,56250.0,89872.0,2019-06-01,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2019,D,56250.0,89872.25,2019-09-13,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2020,M,63547.0,83052.0,2020-12-01,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2021,M,81375.0,100798.0,2021-04-15,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2021,M,81375.0,100798.0,2021-09-30,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2022,M,110000.0,129423.0,2022-04-15,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2022,M,110000.0,129423.0,2022-09-02,False,False,False
0Oq632k7Q6,pzeQZ6xQKw,2023,D,200000.0,224900.0,2023-04-30,False,False,False
0Oq632k7Q6,pzeQZ6xQKw,2023,D,200000.0,224900.0,2023-09-15,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2024,M,235000.0,259900.0,2024-04-25,False,False,False
0Oq632k7Q6,jYQJ19EqGR,2024,M,235000.0,259900.0,2024-09-13,False,False,False
0Oq633dAQ6,EKXMeX3Q64,2019,F,70250.0,76368.0,2019-06-01,False,False,False
0Oq633dAQ6,EKXMeX3Q64,2019,F,70250.04,76368.37,2019-09-13,False,False,False
0Oq633dAQ6,EKXMeX3Q64,2020,F,90000.0,96118.0,2020-12-01,False,False,False
0Oq633dAQ6,EKXMeX3Q64,2021,F,110000.0,116118.0,2021-04-15,False,False,False
0Oq633dAQ6,EKXMeX3Q64,2021,F,110000.0,116118.0,2021-09-30,False,False,False
0Oq633dAQ6,EKXMeX3Q64,2022,F,130000.0,136118.0,2022-04-15,False,False,False
0Oq633E7Q6,jYQJ8EW5GR,2023,D,67360.0,67360.0,2023-04-30,False,False,False
0Oq633E7Q6,jYQJ8EW5GR,2023,D,67360.0,67360.0,2023-09-15,False,False,False
0Oq633E7Q6,jYQJ8EW5GR,2024,D,71401.0,71401.0,2024-04-25,False,False,False
0Oq633E7Q6,jYQJ8EW5GR,2024,D,71401.0,71401.0,2024-09-13,False,False,False
0Oq638a6Q6,mKAqBBmqbg,2021,M,63547.0,73237.0,2021-09-30,False,False,False
0Oq638a6Q6,mKAqBBmqbg,2022,M,66724.0,76438.0,2022-04-15,False,False,False
0Oq638a6Q6,mKAqBBmqbg,2022,M,66724.0,76438.0,2022-09-02,False,False,False
0Oq63DL6Q6,jYQJ19EqGR,2023,D,67360.0,73064.0,2023-09-15,False,False,False
0Oq63DL6Q6,jYQJ19EqGR,2024,D,89716.0,95420.0,2024-04-25,False,False,False
0Oq63DL6Q6,jYQJ19EqGR,2024,D,89716.0,95420.0,2024-09-13,False,False,False
0Oq63JA7Q6,kRQand1MKZ,2018,D,54500.04,54500.04,2018-05-01,False,False,False
0Oq63JA7Q6,kRQand1MKZ,2018,D,54500.04,54500.04,2018-09-15,False,False,False
0Oq63JA7Q6,kRQand1MKZ,2019,D,57225.0,57225.0,2019-06-01,False,False,False
0Oq63JA7Q6,kRQand1MKZ,2019,D,57225.0,57225.0,2019-09-13,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2020,D,81375.0,81375.0,2020-12-01,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2021,D,85444.0,85444.0,2021-04-15,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2021,D,85444.0,85444.0,2021-09-30,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2022,D,140000.0,157000.0,2022-04-15,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2022,D,140000.0,157000.0,2022-09-02,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2023,D,170000.0,187000.0,2023-04-30,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2023,D,170000.0,187000.0,2023-09-15,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2024,D,200000.0,217000.0,2024-04-25,False,False,False
0Oq63JA7Q6,X0Oq66zq6D,2024,D,200000.0,217000.0,2024-09-13,False,False,False
0Oq63lbzQ6,kRQabn8MKZ,2022,M,65500.0,65500.0,2022-09-02,False,False,False
0Oq63lbzQ6,kRQabn8MKZ,2023,D,68775.0,68775.0,2023-04-30,False,False,False
